url,profession,name,address,phone,description
https://guiavenezuela.com.ve/buscar.php?c=electricistas&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,electricistas,Electricistas Conelecva C.A.,"A Sector Amparo, Calle 89, Maracaibo",02613228530 / 04146148518 / 04120740949,Estamos para servir
https://guiavenezuela.com.ve/buscar.php?c=plomeros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,plomeros,Plomeros Trabajamos las 24 Horas en Maracaibo,"A La Limpia, Maracaibo",02616357396 / 02617185669 / 02614143658,Trabajamos las 24 horas Somos Expertos en Detectar y Reparar Filtraciones
https://guiavenezuela.com.ve/buscar.php?c=plomeros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,plomeros,Serviplo plomeros destape de cañerías tanquillas sumideros,"Sector belloso, Maracaibo",042696669574 / 04246999713,Serviplo plomeros en Maracaibo destapes reparacion de equipos hidroneumaticos
https://guiavenezuela.com.ve/buscar.php?c=plomeros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,plomeros,Plomero destape y plomeria martinez,"B Calle 83 a, Maracaibo",02613263472 / 04146259900,Multi servicios martinez
https://guiavenezuela.com.ve/buscar.php?c=plomeros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,plomeros,Distribuciones La Casa del Plomero,"Las Delicias, Maracaibo",0261 - 7833422,NaN
https://guiavenezuela.com.ve/buscar.php?c=plomeros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,plomeros,El Plomero David Montiel,"T Gallegos, Maracaibo",0261 - 7482293,NaN
https://guiavenezuela.com.ve/buscar.php?c=plomeros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,plomeros,"Materiales y Suministros de Plomero, C.A.",Urb. La pomona av. Ppal C. Res el pinar p... - Maracaibo,0261 - 7180060,NaN
https://guiavenezuela.com.ve/buscar.php?c=carpinteros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,carpinteros,Difesa La Casa del Carpintero,"El Tránsito, Maracaibo",0261 - 7235250,NaN
https://guiavenezuela.com.ve/buscar.php?c=carpinteros&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,carpinteros,Difesa La Casa del Carpintero,"El Tránsito, Maracaibo",0261 - 7235250,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,Taller mecánico ranvil C.A,"A Sector panamericano calle 78 galpón 75-36, Maracaibo",0261-7114194 / 0416-1638939 / 0424-6959289,
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,"Servicios Mecánicos Tony Rojas, S.A.","Los Haticos, Maracaibo",0261 - 7654766,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,"Servicios Técnicos Mecánicos, C.A.","Indio Mara, Maracaibo",0261 - 7512195,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,"Taller Mécanico Automotriz Auto Power, C.A.","Dr Portillo, Maracaibo",0261 - 7987128,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,"Taller Mécanico Automotriz Auto Power, C.A.","Dr Portillo, Maracaibo",0261 - 7987128,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,Taller Mecánico Corazón de Jesús,"Corazón de Jesús, Maracaibo",0261 - 7621066,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,Taller Mecánico Hermanos Atencio,"Canta Claro, Maracaibo",0261 - 7425404,NaN
https://guiavenezuela.com.ve/buscar.php?c=mecanicos&localidad_busca=Maracaibo%2C+Zulia&idLocalidad_busca=366&submit=,mecanicos,Taller Mecánico Humberto,"Sabaneta, Maracaibo",0261 - 7291603,NaN
